Name,Image,Icon,Species,Personality,Gender,Default Catchphrase,Default Top,Default Umbrella,Birthday,Fav Fashion,Least Fav Fashion,Fav Color,Coffee,Fav Saying,Move-In Type,Wallpaper,Floor,House Song,House Model,Furniture,RV Song,RV Items,RV Description,Skill,Skill ID,Goal,Goal ID,Siblings,Siblings ID,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Catchphrase (English EU),Catchphrase (Japanese),Catchphrase (Spanish NA),Catchphrase (Spanish EU),Catchphrase (French NA),Catchphrase (French EU),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Internal ID,New To Series
Del,,,Alligator,Cranky,Male,gronk,blue-stripe tee,bat umbrella,May 27,sporty,ornate,blue,,The hero is brave in deeds as well as words.,Starter,industrial wall,plank flooring,K.K. March,1,complex machine;amazing machine;robo-bed (White robot);robo-dresser (White robot);oil barrel (Green);oil barrel (Green);robo-stereo (White robot);robo-lamp (White robot);robo-chair (White robot);electric kettle;typewriter;robo-wall clock (White robot);,-,-,-,subsistence living,m20,firefighter,m1A,second of 5 kids,m15,,-,ヤマト,Croco,Croco,Hector,Hector,Krokki,Krokki,파도맨,-,プシュー,chomp,chomp,clap,clap,happ,chomp,처얼썩,1.0,0050,0060,crd04,No
Sly,,,Alligator,Jock,Male,hoo-rah,jungle-camo tee,camo umbrella,November 15,rock 'n' roll,modern,colorful,,Don't bite off more than you can chew.,Starter,jungle wall,jungle floor,K.K. Safari,1,modern bed (Monochromatic - Modern plaid);cardboard table;cardboard sofa;tree standee;cardboard sofa;arctic-camo tee;desert-camo tee;pothos;lady palm;weeping fig;combat helmet;tape deck;surveillance camera;exit sign;,-,-,-,pretending to sleep,m25,explorer,m2A,eldest of 7 kids,m24,,-,ハイド,Estallón,Estallón,Chuck,Chuck,Steve,Driberto,하이드,-,カサコソ,coscorrón,capón,repos,repos,schnapp,ciaf,부스럭,1.0,0051,0061,crd06,No
Gayle,,,Alligator,Normal,Female,snacky,heart tee,candy umbrella,May 17,cute,historical,white,,An ounce of prevention is worth a pound of cure.,Starter,lovely wall,neutral floor,Bubblegum K.K.,1,lovely bed (Lovely pink - Lovely pink);lovely dresser (Lovely pink);lovely kitchen (Lovely pink);lovely love seat (Lovely pink - Lovely pink);lovely table (Lovely pink - Lovely pink);lovely vanity (Lovely pink);lovely armoire (Lovely pink);minimalist lamp (Ivory);dolly (Red);dollhouse;cassette player (Red);lovely wall clock (Lovely pink);,-,-,-,hula dancing,f38,gymnast,f10,eldest of 2 kids,f09,,-,アリゲッティ,Boni,Boni,Odile,Odile,Rosa,Codrilla,앨리,-,ワニャン,corazón,corazón,croquignou,croquignou,zähni,désolée,아거얌,1.0,0052,0062,crd07,Yes
Drago,,,Alligator,Lazy,Male,burrrn,dragon suit,maple umbrella,February 12,iconic,cute,red,,There is no room for two dragons in one pond.,Starter,imperial wall,imperial tile,Imperial K.K.,0,exotic bed (Brown - Gray);lazy-Susan table;exotic screen (Brown);exotic chest (Brown);exotic table (Brown);exotic end table (Brown);exotic lamp (White and orange);lady palm;exotic wardrobe (Brown);turntable;quince bonsai;goldfish;exotic wall shelf (Brown);,-,-,-,blowing bubbles,m19,pilot,m26,fifth of 6 kids,m22,,-,タツオ,Dragonio,Dragonio,Drago,Drago,Frederik,Dragonio,용남이,-,えーと,quemarrr,quemarrr,ducroc,ducroc,hömpf,tic tac,띠용띠용,1.0,0053,0063,crd08,Yes
Fauna,,,Deer,Normal,Female,dearie,shearling coat,leaf umbrella,March 26,basic,rock 'n' roll,beige,,The first step is always the hardest.,Starter,parlor wall,pastel-dot rug,K.K. Stroll,1,large alpine table (Natural - Nature);classic bed (Brown - White);old sewing machine;retro stereo;modern wood sofa (Standard);modern wood stool (Standard);modern wood chest (Standard);aloe;radiator;dapper tee;tea set;dandelions;modern wood clock (Standard);air conditioner;,-,-,-,mental math,f0D,teacher,f1F,middle of 3 kids,f0C,,-,ドレミ,Fauna,Fauna,Bibi,Bibi,Fatima,Cervina,솔미,-,でしか,puchu,puchu,toudoux,toudoux,bimbam,vule vu,파샵파샵,1.0,0054,0064,der00,Yes
Bam,,,Deer,Jock,Male,boosh,green warm-up jacket,blue dot parasol,November 7,sporty,iconic,aqua,,Get while the getting's good.,Starter,concrete wall,office flooring,DJ K.K.,0,ball catcher (Plain brown ball);high-jump mat;ringside table (Beige);tennis table;volleyball net;vaulting horse;folding chair (Blue);hurdle;office locker;drinking fountain;CD player;homework set;school speaker;exit sign;,-,-,-,backflips,m36,soccer player,m11,fourth of 5 kids,m17,,-,タケル,Cornelio,Cornelio,Nacer,Nacer,Benjamin,Cornelio,록키,prang,ナラね,galilla,galilla,têtedebois,têtedebois,weihweih,hop hop,슉슉,1.0,0055,0065,der01,Yes
Zell,,,Deer,Smug,Male,pronk,arctic-camo tee,zebra umbrella,June 7,modern,cute,purple,,Clothes totally make the man.,Starter,cityscape wall,modern tile,K.K. D&B,5,ebony piano (Black);gorgeous counter;billiard table;gorgeous sofa;pothos;vintage telephone;stool;stool;dracaena;phonograph;sconce;,-,-,-,calculating tips,m21,movie director,m0D,second of 4 kids,m0D,,-,ネルソン,Corvilo,Corvilo,Régis,Régis,Walter,Antilio,넬슨,-,たしかに,bambín,bambín,wapiti,wapiti,sproing,arriba,슴사사,1.0,0056,0066,der02,Yes
Bruce,,,Deer,Cranky,Male,gruff,after-school jacket,blue umbrella,May 26,rock 'n' roll,cute,blue,,Nobody's perfect.,Starter,chain-link fence,hopscotch floor,K.K. Blues,1,basketball hoop;iron frame;mountain bike (Green and yellow);sleek table (Black);manhole cover;phone box;garbage can;striped cone;oil barrel (Green);cassette player (Red);surveillance camera;,-,-,-,memorizing stuff,m06,pro golfer,m0F,eldest of 3 kids,m09,,-,ブルース,Aristo,Aristo,Boubou,Boubou,Oswald,Arturo,브루스,-,しかしな,aquesí,aquesí,nunul,nunul,röööhr,uauwaii,아비옹,1.0,0057,0067,der03,Yes
Deirdre,,,Deer,Big sister,Female,whatevs,fall leaf tee,mint umbrella,May 4,historical,flashy,orange,,"Legs of an antelope, heart of an eagle.",Starter,autumn wall,birch flooring,K.K. Cruisin',1,Papa bear (Blank);modern wood bed (Standard - Tree);modern wood shelf (Standard);modern wood sofa (Standard);modern wood table (Standard);modern wood lamp (Standard);garden gnome (Red hat);garden gnome (Red hat);weeping fig;vintage radio;modern wood clock (Standard);,-,-,-,tiptoeing,f11,journalist,f0A,youngest of 3 sisters,f10,,-,ナディア,Venada,Venada,Bichoune,Bichoune,Dina,Daria,나디아,-,まいっか,rumiante,rumiante,pan,pan,tripptripp,babam,됐고,1.0,0058,0068,der04,Yes
Lopez,,,Deer,Smug,Male,buckaroo,brown-bar tee,bat umbrella,August 20,flashy,cute,gray,,Always look both ways before crossing the street.,Starter,tent wall,blue flooring,K.K. Milonga,2,classic bed (Brown - White);modern wood shelf (Standard);modern wood table (Standard);modern wood sofa (Standard);hi-fi stereo;modern wood lamp (Standard);bass;modern wood TV (Standard);pothos;sea horse;,-,-,-,debating,m23,CEO,m28,second of 6 kids,m1F,,-,トムソン,Agreste,Agreste,Jon,Jon,Eckart,Lopez,톰슨,badoom,がぜん,trisca,trisca,jaunisse,jaunisse,bocko,sdleng,엣헴,1.0,0059,0069,der05,Yes
Fuchsia,,,Deer,Big sister,Female,girlfriend,dark polka tee,modern umbrella,September 19,rock 'n' roll,basic,pink,,It takes one to know one.,Starter,flower pop wall,flower pop carpet,K.K. Rock,0,modern bed (Monochromatic - Modern plaid);high-end stereo;modern table (Monochromatic);modern cabinet (Monochromatic);simple love seat (Red);standing spotlight;marshmallow chair (Light beige);electric guitar (Fire red);amp;fan palm;candy jar;makeup case;wall-mounted speaker;air conditioner;,-,-,-,home repair,f3C,makeup artist,f16,youngest of 2 kids,f0A,,-,ジェシカ,Rosalina,Rosalina,Rosanne,Rosanne,Selina,Fuxia,제시카,-,なんしか,braaaam,braaaam,rosace,rosace,zick,cervilà,핑크크,1.0,005A,006A,der06,Yes
Beau,,,Deer,Lazy,Male,saltlick,deer shirt,forest umbrella,April 5,basic,rock 'n' roll,beige,,"You snooze, you lose.",Starter,summit wall,wildflower floor,Mountain Song,5,picnic table (Red gingham);tree standee;mountain standee;mountain standee;hammock (Purple - Purple);tape deck;weeping fig;weeping fig;doghouse (Red roof);birdcage;tea set;,-,-,-,staying awake,m26,mayor,m18,eldest of 8 kids,m25,,-,ペーター,Lope,Lope,Stefaon,Stefaon,Martin,Gigi,피터,-,おろおろ,babum,babum,feufeuille,feufeuille,knospel,gnam gnam,우왕,1.0,005B,006B,der07,Yes
Diana,,,Deer,Snooty,Female,no doy,natty tee,petal parasol,January 4,iconic,rock 'n' roll,white,,Sometimes you have to lose to win.,Starter,rococo wall,kitchen tile,Stale Cupcakes,0,whirlpool bath (No flowers);mermaid screen;chaise lounge (Cream);regal table (Royal yellow - Royal yellow);regal dresser (Royal yellow);corinthian post;minimalist minitable (Ivory);harp;croton;mermaid lamp;Stale Cupcakes;phonograph;,-,-,-,writing about pickles,f1C,dermatologist,f17,eldest of 5 kids,f19,,-,ナタリー,Bambina,Bambina,Didi,Didi,Vroni,Diana,나탈리,-,でしょ,braaavo,braaavo,bichouchou,bichouchou,kitz,mamy,라니까,1.0,005C,006C,der08,Yes
Erik,,,Deer,Lazy,Male,chow down,comfy sweater,ghost umbrella,July 27,basic,ornate,aqua,,"If you're afraid of wolves, don't go to the woods.",Starter,cabin wall,cabin rug,Neapolitan,4,cabin table (Normal tree - Normal);fireplace;classic sofa (Brown);cabin bed (Normal tree - Normal);cabin bookcase (Normal tree - Normal);turntable;ski rack;folk guitar;garden gnome (Red hat);cabin chair (Normal tree);camp stove;simple kettle (Red);poinsettia;cabin wall clock (Normal tree);,-,-,-,playing horseshoes,m16,carpenter,m21,youngest of 2 kids,m08,,-,チャック,Cervasio,Cervasio,Abraham,Abraham,Erik,Cervasio,자끄,-,しかじか,ñume-ñume,ñume-ñume,breuh,breuh,hirschl,relax,뚜비뚜바,1.0,005D,006D,der09,Yes
Chelsea,,,Deer,Normal,Female,pound cake,My Melody outfit,daisy umbrella,January 18,cute,basic,pink,,Always look a gift horse in the mouth.,RV invitation,My Melody wall,My Melody floor,K.K. Stroll,2,regal bookcase (Royal yellow);My Melody bed;princess chest;claw-foot tub (White);My Melody dresser;cushion (Blank);My Melody chair;My Melody table;My Melody table;cupcake (Strawberry );cup of tea (Rose-hip tea);My Melody clock;,K.K. Stroll,My Melody wall;My Melody floor;My Melody dress;My Melody shoes;My Melody hat;My Melody outfit;My Melody clock;My Melody dress;My Melody dresser;My Melody bed;My Melody table;My Melody chair,Chelsea always brings the essentials when going on a camping trip: her collection of My Melody paraphernalia and a bowl of cookie dough.,making sweets,c03,pastry chef,c03,eldest of 2 kids,f07,,-,チェルシー,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,첼시,-,メロメロ,melomelo,melomelo,bibiche,bibiche,denkpink,melodì,하트하트,1.4,-,006E,der10,Yes
Goldie,,,Dog,Normal,Female,woof,dapper tee,Toad parasol,December 27,basic,flashy,white,,A little bit of happiness is better than a lot of anguish.,Starter,modern wood wall,tent rug,K.K. Bossa,1,harpsichord;modern wood bed (Standard - Tree);minimalist sofa (Ivory);modern wood shelf (Standard);modern wood lamp (Standard);minimalist minitable (Ivory);snake plant;wooden stool (None);minimalist ottoman (Ivory);yellow violets;record player;potted ivy;display shelf;,-,-,-,dusting,f36,dentist,f1C,eldest triplet,f04,,-,キャラメル,Tere,Tere,Mirza,Mirza,Bienchen,Dora,카라멜,-,ワン,guau-guau,guau-guau,ouaf,ouaf,wuff,wuf wuf,왈왈,1.0,005E,006F,dog00,No
Butch,,,Dog,Cranky,Male,ROOOOOWF,arctic-camo tee,spider umbrella,November 1,sporty,cute,black,,A house without either a cat or a dog is a sad house indeed.,Starter,red tile wall,modern tile,K.K. Fusion,3,modern bed (Monochromatic - Modern plaid);modern table (Monochromatic);modern cabinet (Monochromatic);gold stereo;modern sofa (Monochromatic);metal guitar (Cosmos black);dartboard;tall cactus;modern end table (Monochromatic);lucky clovers;K.K. Fusion;modern lamp (Monochromatic - Monochromatic plaid);modern wall clock (Monochromatic);air conditioner;,-,-,-,air guitar,m35,race-car driver,m16,eldest quintuplet,m19,,-,ジョン,Bruno,Bruno,Avril,Avril,Hasso,Attila,존,-,ノン,gruf-gruf,gruf-gruf,WROOOOUF,WROOOOUF,GRRUFF,ROOOOOF,아니,1.0,005F,0070,dog01,No
Lucky,,,Dog,Lazy,Male,rrr-owch,No. 23 shirt,bat umbrella,November 4,flashy,iconic,purple,,Don't bite the hand that feeds you.,Starter,ancient wall,Saharah's desert,K.K. Dirge,2,pyramid;pyramid;Sphinx;retro stereo;asteroid;tumbleweed;desert cactus;tall dingloid;asteroid;,-,-,-,forgetting stuff,m29,doctor,m04,fourth quintuplet,m1C,,-,ラッキー,Pupas,Pupas,Ramsès,Ramsès,Viktor,Felice,럭키,-,らしいよ,guuuuAY,guuuuAY,graaaouch,graaaouch,rrr-awau,ossorrr,그렇대,1.0,0060,0071,dog02,No
Biskit,,,Dog,Lazy,Male,dawg,deep-blue tee,sunny parasol,May 13,basic,official,orange,,Let sleeping dogs lie.,Starter,wood paneling,slate flooring,K.K. Mambo,4,cabana bed (Plain - White);ranch couch (Natural);cabana table (Plain);cabana screen (Plain);flat-screen TV;turntable;mini echoid;tricycle;fan palm;ranch armchair (Natural);ukulele;cabana wall radio (Plain);air conditioner;,-,-,-,hitting snooze,m2E,architect,m05,youngest of 4 kids,m0F,,-,ロビン,Amnesio,Amnesio,Crocket,Crocket,Keks,Buffetto,로빈,-,だイヌ,guau,guau,clair,clair,kläff,brrranco,멍멍,1.0,0061,0072,dog03,No
Bones,,,Dog,Lazy,Male,yip yip,caveman tank,leaf umbrella,August 4,historical,cute,aqua,,A snack a day keeps the vacuum away.,Starter,playroom wall,classroom floor,Forest Life,4,train set;kiddie stereo (Colorful);kiddie dresser (Colorful);common bed (Red);ranch tea table (Natural - Blue);home-computer rack;writing chair (Blank);cactus;game shelf (Pink);round cactus;killifish;water bird;globe;homework set;cuckoo clock;air conditioner;,-,-,-,telling jokes,m31,explorer,m2A,eldest of 7 kids,m24,,-,トミ,Cándido,Cándido,Nonos,Nonos,Strolch,Tobia,토미,-,ネッ,yip yip,yip yip,yip yip,yip yip,hechel,yip yip,옙,1.0,0062,0073,dog04,No
Portia,,,Dog,Snooty,Female,ruffian,blue diamond tee,elegant umbrella,October 25,modern,iconic,white,,Charity begins at home.,Starter,mosaic wall,tartan rug,Café K.K.,0,regal bed (Royal yellow);regal dresser (Royal yellow);classic buffet (Brown - Brown);cream sofa;hi-fi stereo;classic table (Brown - Brown);beaded shirt;corseted shirt;lacy white tank;regal lamp (Royal yellow - Royal yellow);sewing machine;azalea bonsai;classic wall shelf (Brown);air conditioner;,-,-,-,photography,f3E,stylist,f18,second of 6 kids,f1F,,-,ブレンダ,Amanda,Amanda,Dalma,Dalma,Isolde,Porzia,블랜더,-,フンッ,ruf-ruf,ruf-ruf,brute,brute,frechi,ronfietto,흥,1.0,0063,0074,dog05,No
Walker,,,Dog,Lazy,Male,wuh,No. 67 shirt,yellow umbrella,June 10,historical,ornate,red,,"The dog wags his tail, not for you, but for your bread.",Starter,stone wall,alpine rug,Two Days Ago,0,ebony piano (Black);retro stereo;alpine dresser (Natural - Nature);salmon;minimalist sofa (Ivory);potbelly stove;minimalist ottoman (Ivory);pachira;alpine shelf (Natural - Nature);pink velvet stool;round mini cactus;minimalist clock (Ivory);display shelf;,-,-,-,clearing my plate,m38,photographer,m09,eldest of 10 kids,m27,,-,ベン,Miki,Miki,George,George,Fido,Walter,벤,-,バウ,huesitos,huesitos,ouh,ouh,wafff,wuff,컹컹,1.0,0064,0075,dog06,No
Daisy,,,Dog,Normal,Female,bow-WOW,kiddie tee,gelato umbrella,November 16,basic,sporty,brown,,It's not always a dog-eat-dog world.,Starter,library wall,tartan rug,K.K. Soul,2,moon;flat display case (White pedestal - Book);classic sofa (Brown);extinguisher;telescope;ammonite;antique clock;amber;small spotlight (Yellow);exit sign;,-,-,-,making budgets,f3A,archaeologist,f23,eldest of 9 kids,f26,,-,バニラ,Luisa,Luisa,Naomie,Naomie,Doris,Fiorella,바닐라,-,だよね,guaay,guaay,mon chou,mon chou,wauwau,bau WOW,그렇죠,1.0,0065,0076,dog07,No
Cookie,,,Dog,Peppy,Female,arfer,blue tartan tee,gelato umbrella,June 18,cute,historical,green,,Don't lose sight of what you're really after.,Starter,ranch wall,round carpet,DJ K.K.,1,patchwork table (Pop color);ranch dresser (Natural);patchwork dresser (Pop color);patchwork sofa (Pop color);ranch bed (Natural - White);small magazine rack;ranch hutch (Natural);upright vacuum;plinkoid;weeping fig;white violets;record player;ranch wall rack (Natural);air conditioner;,-,-,-,dancing,f03,actor,f2C,fifth of 6 kids,f22,,-,ペリーヌ,Purita,Purita,Cookie,Cookie,Rosi,Briciola,베리,-,プリリン,fresita,fresita,woufi,woufi,nuffnuff,bubabù,초롱초롱,1.0,0066,0077,dog08,No
Maddie,,,Dog,Peppy,Female,yippee,picnic tee,ribbon umbrella,January 11,basic,flashy,pink,,The IT revolution is under way.,Move-in,meadow vista,wildflower floor,Forest Life,0,picnic table (Red gingham);flower bed;swinging bench;cruiser bike (Red);garden faucet (Brick);garden lantern (Black);garden lantern (Black);garden gnome (Red hat);garden gnome (Red hat);,Forest Life,meadow vista;wildflower floor;swinging bench;cruiser bike (Red);garden gnome (Dark-red hat);garden chair (White);garden table (White);garden faucet (Brick);picnic basket;garden lantern (Black);lunch pack (Green),"Maddie is in search of the world's most perfect picnic spot, so she loaded up her van with just the right supplies and hit the road.",tongue twisters,f08,tour guide,f20,middle triplet,f05,,-,マロン,Martina,Martina,Olympe,Olympe,Agnes,Cristina,마롱,-,ワンツー,chupi,chupi,youpi,youp,hurra,yuuuppii,달코미,1.4,-,0078,dog09,No
Bea,,,Dog,Normal,Female,bingo,go-go shirt,picnic umbrella,October 15,modern,rock 'n' roll,green,,The perfect pair complements each other.,Move-in,green wall,natural wood floor,K.K. Soul,4,kitchen island;kitchen counter;dessert case;green bench (Middle green);counter table (Casual);tong-and-tray stand;soda case;pachira;shopping bag;bread-making set;bread basket;ventilation fan;,K.K. Soul,green wall;natural wood floor;wooden counter (Brown - Colorful dots);dessert case;soda case;menu chalkboard (Illustration);tong-and-tray stand;counter table (Casual);shopping bag;bread-making set;bread basket;bread box (Cheese bread),"There's no question that Bea's bagels are the best ever baked by a beagle, but you better believe that her bakery boasts more than just bagels.",waking up early,f15,dentist,f1C,older twin sister,f02,,-,ベーグル,Bea,Bea,Béa,Béa,Bea,Cucciola,베이글,-,グー,huesín,huesín,mon chaton,mon chaton,bingo,bingo,쫀득,1.4,-,0079,dog10,No
Mac,,,Dog,Jock,Male,woo woof,red aloha tee,leaf umbrella,November 11,sporty,ornate,red,,Sometimes life is rough.,Starter,ivy wall,sandlot,My Place,5,backyard pool;ice-cream case;clothesline pole (White shirt);cupid bench;planter;tricycle;weeping fig;doghouse (Red roof);cassette player (Red);potted ivy;,-,-,-,doing chin-ups,m3F,boxer,m14,eldest quadruplet,m10,,-,チャンプ,Pit,Pit,Brutus,Brutus,Wuffi,Teo,챔프,-,モグ,frusky,frusky,babines,babines,bellbell,arfidenti,우물우물,1.0,0067,007A,dog14,No
Marcel,,,Dog,Lazy,Male,non,chichi-print tee,busted umbrella,December 31,iconic,cute,green,,There's not a dog so bad that he won't wag his tail.,Starter,exquisite wall,tatami,Comrade K.K.,3,hearth;stair dresser;screen;samurai suit;phonograph;lucky cat;lefty lucky cat;lucky black cat;paper lantern;elder mask;,-,-,-,eating frequently,m27,artist,m2D,second of 5 kids,m15,,-,もんじゃ,Eto,Eto,Ismaël,Ismaël,Ronaldo,Giosuè,에드워드,-,なんじゃ,colmillos,colmillos,miaouf,miaouf,tusch,snif snif,하옵소서,1.0,0068,007B,dog15,No
Benjamin,,,Dog,Lazy,Male,alrighty,subdued-print tee,ghost umbrella,August 3,historical,ornate,beige,,A good dog deserves a good treat.,Starter,paw-print wall,common floor,Wandering,3,sloppy table (Aqua);clothesline pole (White shirt);sloppy stereo;sloppy bed (Aqua);sloppy sofa (Aqua);sloppy sink;cardboard box (Blank);sloppy TV;sloppy dresser (Aqua);drip pail;lunch tray (A lunch);exit sign;,-,-,-,brainteasers,m0E,archaeologist,m23,eldest of 8 kids,m25,,-,ハチ,Bernardo,Bernardo,Bernardo,Bernardo,Wastl,Bernardo,땡칠이,-,ではでは,tirirí,tirirí,croquettes,croquettes,winsel,bauuau,그럼그럼,1.0,0069,007C,dog16,Yes
Cherry,,,Dog,Big sister,Female,what what,spiderweb tee,elegant umbrella,May 11,rock 'n' roll,official,purple,,One dog barks at something; the rest bark at him.,Starter,stripe wall,modern tile,K.K. Fusion,2,sleek bed (Black);sleek dresser (Black);sleek table (Black);treadmill;simple love seat (Red);simple armchair (Red);snowboard (Red);metal guitar (Cosmos black);exercise bike;bromeliaceae;simple kettle (Red);sleek stereo (Black);sleek clock (Black);,-,-,-,waking up early,f15,dancer,f06,second of 5 kids,f1A,,-,ハンナ,Luna,Luna,Anna,Anna,Bella,Amarena,한나,-,だってネ,guauchi,guauchi,niniche,niniche,wedel,arf arf,그냥저냥,1.0,006A,007D,dog17,Yes
Shep,,,Dog,Smug,Male,baaa man,denim vest,camo umbrella,November 24,historical,flashy,beige,,Even dogs won't get in the middle of true love.,Starter,exotic wall,common floor,K.K. Reggae,3,pine table (Green);simple love seat (Red);kayak;cabana table (Plain);cabana screen (Plain);pachira;retro fridge;conga drum;fan;surfboard (Stripe);sunflower;record player;bottled ship;cabana wall radio (Plain);air conditioner;,-,-,-,speed-reading,m10,professor,m1D,third quadruplet,m12,,-,ボブ,Fleco,Fleco,Mehdi,Mehdi,Thomas,Frangino,밥,-,ワンダー,tufos,tufos,pedigree,pedigree,heffheff,guau guau,안보여,1.0,006B,007E,dog18,Yes
Bill,,,Duck,Jock,Male,quacko,No. 2 shirt,gelato umbrella,February 1,sporty,ornate,green,,"Even though there's no 'I' in team, there is a 'me'!",Starter,modern screen,classic carpet,King K.K.,0,exotic bed (Brown - Gray);exotic table (Brown);stair dresser;exotic bench (Brown);screen;exotic wardrobe (Brown);lady palm;blue vase;turntable;birdcage;exotic lamp (White and orange);pine bonsai;,-,-,-,bunting,m39,race-car driver,m16,second quadruplet,m11,,-,ピータン,Paquito,Paquito,Choco,Choco,Bill,Gino,코코아,-,だね,cuaco,cuaco,choupichou,choupichou,quako,quaquo,탕,1.0,006C,007F,duk00,No
Joey,,,Duck,Lazy,Male,bleeeeeck,No. 3 shirt,leaf umbrella,January 3,basic,rock 'n' roll,purple,,Don't get your feathers all ruffled. Just chill.,Starter,tropical vista,tropical floor,K.K. Calypso,5,backyard pool;volleyball net;volleyball net;volleyball net;ringside table (Beige);life ring (Red);mega oboid;scoreboard;lawn chair (Blue);CD player;,-,-,-,blowing bubbles,m19,sumo wrestler,m17,youngest quintuplet,m1D,,-,リチャード,Pascual,Pascual,Joseph,Joseph,Kalle,Pino,리처드,-,でヤンス,uac-uac,uac-uac,beeeuuuurk,beeeuuuurk,tschiiirp,squack,그래유,1.0,006D,0080,duk01,No
Pate,,,Duck,Peppy,Female,quackle,winter sweater,blue umbrella,February 23,modern,official,yellow,,A duck won't bite you.,Starter,stone wall,plush carpet,K.K. Steppe,1,Papa bear (Blank);alpine bed (Natural - Nature);alpine low table (Natural - Nature);fireplace;alpine shelf (Natural - Nature);bass;classic clock (Brown);rocking chair;pachira;phonograph;tea set;candle;alpine panel (Nature);,-,-,-,pretending to sleep,f25,archaeologist,f23,fourth of 5 kids,f1C,,-,ナッキー,Pati,Pati,Terrine,Terrine,Daune,Camilla,나키,-,メソメソ,cuaqui,cuaqui,coin coin,coin coin,quaak,quackquack,아잉,1.0,006E,0081,duk02,No
Maelle,,,Duck,Snooty,Female,duckling,heart tee,yellow umbrella,April 8,modern,sporty,white,,A wise duck takes care of her bill.,Starter,kitschy wall,tatami,Café K.K.,4,large alpine table (Natural - Nature);alpine low table (Natural - Nature);sink;alpine dresser (Natural - Nature);alpine bed (Natural - Nature);range;retro fridge;retro TV;space heater;drip pail;record player;dandelions;pendulum clock;air conditioner;,-,-,-,stomping around,f37,makeup artist,f16,second of 4 sisters,f16,,-,アンヌ,Patidifú,Patidifú,Maëlle,Maëlle,Sissi,Palmita,앤,-,ふぅ,perla,perla,canardou,canardou,entchen,paperotto,우아,1.0,006F,0082,duk03,No
Deena,,,Duck,Normal,Female,woowoo,kiddie tee,green umbrella,June 27,modern,sporty,gray,,Duck...duck...GOOSE!,Starter,music-room wall,classroom floor,Mr. K.K.,5,ebony piano (Black);whiteboard (Blank);high-end stereo;vibraphone;upright piano;music stand;pink velvet stool;timpano drum;timpano drum;pink velvet stool;school speaker;,-,-,-,blowing bubbles,f19,illustrator,f22,second of 5 kids,f1A,,-,まりも,Martita,Martita,Mina,Mina,Olivia,Dina,마리모,-,マル,miguita,miguita,youhou,youhou,juhuu,quiproquò,우우,1.0,0070,0083,duk04,No
Pompom,,,Duck,Peppy,Female,rah rah,No. 4 shirt,candy umbrella,February 11,cute,rock 'n' roll,aqua,,Happiness is a rainy day!,Starter,mod wall,ornate rug,K.K. Jazz,0,lovely bed (Lovely pink - Lovely pink);lovely kitchen (Lovely pink);minimalist table (Ivory);lovely dresser (Lovely pink);minimalist sofa (Ivory);retro fridge;flower table (Pink);dracaena;minimalist ottoman (Ivory);fan;revolving spice rack;dollhouse;record player;minimalist clock (Ivory);pot rack;,-,-,-,trivia,f0F,CEO,f28,third of 6 kids,f20,,-,のりっぺ,Flopi,Flopi,Pompon,Pompon,Erika,Erica,주디,-,だっピ,sinplumas,sinplumas,rah rah,rah rah,krah,quoquiquà,다삐,1.0,0071,0084,duk05,No
Mallary,,,Duck,Snooty,Female,quackpth,blue-stripe tee,sunny parasol,November 17,modern,iconic,brown,,Purple is the color of royalty.,Starter,exotic wall,mosaic tile,K.K. Bossa,2,cabana bed (Plain - White);cabana screen (Plain);exotic table (Brown);claw-foot tub (White);exotic bench (Brown);lite polka tee;fan palm;turntable;cabana lamp (Plain);bromeliaceae;sewing machine;round mini cactus;exotic wall shelf (Brown);air conditioner;,-,-,-,debating,f23,aesthetician,f19,middle of 3 kids,f0C,,-,スミモモ,Mirta,Mirta,Mallory,Mallory,Marina,Sofia,스미모,-,ヨネ,recuac,recuac,coinpff,coinpff,quackpss,quackplà,모모,1.0,0072,0085,duk06,No
Freckles,,,Duck,Peppy,Female,ducky,bright tee,beach umbrella,February 19,flashy,basic,colorful,,Act now before you change your mind!,Starter,concrete wall,bath tile,K.K. Song,4,bathtub (Tile);ocean sunfish;wash station;tuna;beach chair;shower;water cooler;standing spotlight;snake plant;reel-to-reel;ventilation fan;air conditioner;,-,-,-,staying awake,f26,pharmacist,f25,middle triplet,f05,,-,マグロ,Rebeca,Rebeca,Caro,Caro,Quacks,Semola,다랑어,-,ぎょぎょ,cui-cuá,cui-cuá,poussin,poussin,schnatter,qua qua,물물,1.0,0073,0086,duk07,No
